polarity,sentimentType,subjectivity,tweetsOnIndia
-0.07777777777777779,negative,0.14444444444444446,India crusing at 5 run per over in England after being 2-0 down. Is it a dream? Nope. Living in present #ENGvIND Ko… https://t.co/PAS6OMLADJ
0.5,positive,0.5,"RT @btsvotingteam: 🌎 TOP COUNTRIES tweeting 
#AnswerIn4Days

1. USA
2. Brazil
3. Mexico
4. Argentina
5. Indonesia
6. Peru
7. South Korea
8.…"
0.0,neutral,0.55,"RT @prasannavishy: Rafale deal, if embroiled in political slugfest, has the potential of harming India’s security and derailing the moderni…"
0.0,neutral,0.0,"RT @NaijaFlyingDr: India made $108bn from software exports in 2016 alone. 

That's almost 10 yrs of Nigerias oil revenue. 

#beyondoil http…"
0.8,positive,0.75,RT @FarrukhNaeem: Great seeing #UAE leadership at the forefront working with #India for #KeralaFloodRelief... @HHShkMohd is tweeting in Eng…
0.5,positive,0.5,"RT @btsvotingteam: 🌎 TOP COUNTRIES tweeting 
#AnswerIn4Days

1. USA
2. Brazil
3. Mexico
4. Argentina
5. Indonesia
6. Peru
7. South Korea
8.…"
-0.7375,negative,0.9,"RT @AsYouNotWish: Dirty reality of India’s secularism:

Three days post the brutal killings of two Hindu saints in UP’s Auriaya, the police…"
0.0,neutral,0.0,@Dhuandhaar @adgpi @IAF_MCC @PIB_India @AnupamPKher @MIB_India @DefenceMinIndia @DDNewsLive @indiannavy 🙏🙏🙏
-0.05,negative,0.6,RT @davidfrawleyved: Nehruvian and leftist historians rewrote India's Independence Movement to hide its inspiration in the vision of Bharat…
-0.025000000000000022,negative,0.775,"RT @JustinTrudeau: Tragic news from Kerala, India - Canada sends its deepest condolences to all those who have lost a loved one in the deva…"
0.0,neutral,1.0,RT @USAmbIndia: Our heartfelt sympathies to all those affected by the #KeralaFloods. The U.S. Mission in India stands with the people of Ke…
-0.8,negative,0.9,RT @RifatJawaid: Right-wing Hindutva bigots launch hate campaign amidst nature's fury in Kerala @JantaKaReporter  https://t.co/gpeVPNs9eA
0.0,neutral,0.0,@Media_SAI @BajrangPunia @FederationWrest @Ra_THORe @NeelamKapur @PIB_India @MIB_India @IndianOlympians… https://t.co/7FlM2tlF2M
0.425,positive,0.625,India successfully test-fires indigenously designed and developed long-range precision-guided anti-airfield bomb th… https://t.co/6xxkKqAbeC
0.7,positive,0.9,RT @Ra_THORe: What a stupendous show by @BajrangPunia. He displayed superior technique in his bout against Japan's Takatani Daichi to give…
